occ90,occ90_desc,occ00,occ00_desc,conversion_factor
,,284,Technical writers,92.00000000000000000000
185,Designers,,,
,,260,Artists and related workers,4.64135021097046000000
,,263,Designers,94.93670886075950000000
,,775,Miscellaneous assemblers and fabricators,0.42194092827004200000
186,Musicians and composers,,,
,,275,"Musicians, singers, and related workers",100.00000000000000000000
187,Actors and directors,,,
,,006,Public relations managers,1.66666666666667000000
,,270,Actors,32.77777777777780000000
,,271,Producers and directors,61.11111111111110000000
,,276,"Entertainers and performers, sports and related workers, all other",0.55555555555555600000
,,280,Announcers,3.33333333333333000000
,,283,Editors,0.55555555555555600000
188,"Painters, sculptors, craft-artists, and artist printmakers",,,
,,260,Artists and related workers,78.34101382488480000000
,,263,Designers,20.73732718894010000000
,,881,Painting workers,0.92165898617511500000
189,Photographers,,,
,,260,Artists and related workers,1.66666666666667000000
,,291,Photographers,76.66666666666670000000
,,292,"Television, video, and motion picture camera operators and editors",18.33333333333330000000
,,825,Prepress technicians and workers,3.33333333333333000000
193,Dancers,,,
,,274,Dancers and choreographers,99.35064935064930000000
,,275,"Musicians, singers, and related workers",0.64935064935064900000
194,"Artists, performers, and related workers, n.e.c.",,,
,,220,Postsecondary teachers,3.61445783132530000000
,,234,Other teachers and instructors,5.42168674698795000000
,,260,Artists and related workers,10.24096385542170000000
,,271,Producers and directors,7.22891566265060000000
,,276,"Entertainers and performers, sports and related workers, all other",17.46987951807230000000
,,280,Announcers,2.40963855421687000000
,,286,Miscellaneous media and communication workers,34.93975903614460000000
,,290,Broadcast and sound engineering technicians and radio operators,1.80722891566265000000
,,434,Animal trainers,15.06024096385540000000
,,465,"Personal care and service workers, all other ",1.80722891566265000000
195,Editors and reporters,,,
,,281,"News analysts, reporters and correspondents",32.55813953488370000000
,,283,Editors,55.81395348837210000000
,,285,Writers and authors,9.76744186046512000000
,,292,"Television, video, and motion picture camera operators and editors",1.39534883720930000000
,,583,Desktop publishers,0.46511627906976700000
197,Public relations specialists,,,
,,004,Advertising and promotions managers,2.77777777777778000000
,,006,Public relations managers,17.77777777777780000000
,,062,"Human resources, training, and labor relations specialists",1.11111111111111000000
,,282,Public relations specialists,72.22222222222220000000
,,285,Writers and authors,4.44444444444444000000
,,351,Medical records and health information technicians,0.55555555555555600000
,,480,Advertising sales agents,1.11111111111111000000
198,Announcers,,,
,,280,Announcers,100.00000000000000000000
199,Athletes,,,
,,272,"Athletes, coaches, umpires, and related workers",77.98742138364780000000
,,354,Other healthcare practitioners and technical occupations,13.20754716981130000000
,,435,Nonfarm animal caretakers,0.62893081761006300000
,,462,Recreation and fitness workers,3.14465408805031000000
,,752,Commercial divers,5.03144654088050000000
203,Clinical laboratory technologists and technicians,,,
,,330,Clinical laboratory technologists and technicians,77.77777777777780000000
,,332,Diagnostic related technologists and technicians,3.88888888888889000000
,,365,Medical assistants and other healthcare support occupations,18.33333333333330000000
204,Dental hygienists,,,
,,331,Dental hygienists,100.00000000000000000000
205,Health record technologists and technicians,,,
,,351,Medical records and health information technicians,100.00000000000000000000
206,Radiologic technicians,,,
,,320,Radiation therapists,3.62694300518135000000
,,332,Diagnostic related technologists and technicians,96.37305699481870000000
207,Licensed practical nurses,,,
,,350,Licensed practical and licensed vocational nurses,100.00000000000000000000
208,"Health technologists and technicians, n.e.c.",,,
,,196,"Other life, physical, and social science technicians",1.32743362831858000000
,,202,Miscellaneous community and social service specialists,0.44247787610619500000
,,220,Postsecondary teachers,0.88495575221238900000
,,311,Physician assistants,0.88495575221238900000
,,330,Clinical laboratory technologists and technicians,5.30973451327434000000
,,332,Diagnostic related technologists and technicians,6.63716814159292000000
,,340,Emergency medical technicians and paramedics,30.08849557522120000000
,,341,Health diagnosing and treating practitioner support technicians,19.02654867256640000000
,,353,Miscellaneous health technologists and technicians,5.75221238938053000000
,,354,Other healthcare practitioners and technical occupations,6.19469026548673000000
,,362,Physical therapist assistants and aides,1.32743362831858000000
,,365,Medical assistants and other healthcare support occupations,20.35398230088500000000
,,876,"Medical, dental, and ophthalmic laboratory technicians",1.76991150442478000000
213,Electrical and electronic technicians,,,
,,100,Computer scientists and systems analysts,7.04225352112676000000
,,155,"Engineering technicians, except drafters",89.43661971830990000000
,,286,Miscellaneous media and communication workers,1.40845070422535000000
,,743,Precision instrument and equipment repairers,2.11267605633803000000
214,Industrial engineering technicians,,,
,,155,"Engineering technicians, except drafters",100.00000000000000000000
215,Mechanical engineering technicians ,,,
,,155,"Engineering technicians, except drafters",100.00000000000000000000
216,"Engineering technicians, n.e.c. ",,,
,,131,"Surveyors, cartographers, and photogrammetrists",1.52671755725191000000
,,155,"Engineering technicians, except drafters",76.33587786259540000000
,,196,"Other life, physical, and social science technicians",11.45038167938930000000
,,284,Technical writers,0.76335877862595400000
,,290,Broadcast and sound engineering technicians and radio operators,8.39694656488550000000
,,292,"Television, video, and motion picture camera operators and editors",1.52671755725191000000
217,Drafting occupations,,,
,,130,"Architects, except naval",3.16455696202532000000
,,131,"Surveyors, cartographers, and photogrammetrists",4.43037974683544000000
,,154,Drafters,88.60759493670890000000
